id	title	object_id	content_type_id	pub_date	data
8871	specificgingipain1	57	31	2012-01-03 16:47:36	{"id": 57, "value": "Arg specific Gingipain 1"}
8870	argspecificgingipain	57	31	2012-01-03 16:47:36	{"id": 57, "value": "Arg specific Gingipain 1"}
8869	gingipain1	57	31	2012-01-03 16:47:36	{"id": 57, "value": "Arg specific Gingipain 1"}
8868	specificgingipain	57	31	2012-01-03 16:47:36	{"id": 57, "value": "Arg specific Gingipain 1"}
8866	prochymosin	56	31	2012-01-03 16:47:36	{"id": 56, "value": "Prochymosin"}
8867	argspecific	57	31	2012-01-03 16:47:36	{"id": 57, "value": "Arg specific Gingipain 1"}
8865	macrophagemetalloelastasemmp-12	55	31	2012-01-03 16:47:36	{"id": 55, "value": "Macrophage Metalloelastase (MMP-12)"}
8864	metalloelastasemmp-12	55	31	2012-01-03 16:47:36	{"id": 55, "value": "Macrophage Metalloelastase (MMP-12)"}
8863	macrophagemetalloelastase	55	31	2012-01-03 16:47:36	{"id": 55, "value": "Macrophage Metalloelastase (MMP-12)"}
8862	glutamyl-trnareductase	54	31	2012-01-03 16:47:36	{"id": 54, "value": "Glutamyl-tRNA reductase"}
8861	lysozyme	53	31	2012-01-03 16:47:36	{"id": 53, "value": "Lysozyme"}
8860	mucrofibrase1	52	31	2012-01-03 16:47:36	{"id": 52, "value": "Mucrofibrase 1"}
8859	interleukin-13	50	31	2012-01-03 16:47:36	{"id": 50, "value": "Interleukin-13"}
8858	p53tumorsuppressor	49	31	2012-01-03 16:47:36	{"id": 49, "value": "P53 tumor suppressor"}
8857	tumorsuppressor	49	31	2012-01-03 16:47:36	{"id": 49, "value": "P53 tumor suppressor"}
8856	p53tumor	49	31	2012-01-03 16:47:36	{"id": 49, "value": "P53 tumor suppressor"}
8855	aequorin	48	31	2012-01-03 16:47:36	{"id": 48, "value": "Aequorin"}
8854	c1-inhibitor	47	31	2012-01-03 16:47:36	{"id": 47, "value": "C1-Inhibitor"}
8853	alpha-1-antichymotrypsin	46	31	2012-01-03 16:47:36	{"id": 46, "value": "Alpha-1-Antichymotrypsin"}
8852	alpha-1-antitrypsin	45	31	2012-01-03 16:47:36	{"id": 45, "value": "Alpha-1-Antitrypsin"}
8851	growthhormone	44	31	2012-01-03 16:47:36	{"id": 44, "value": "Growth Hormone"}
8850	urokinaseplasminogenactivator	43	31	2012-01-03 16:47:36	{"id": 43, "value": "LMW Urokinase Plasminogen Activator"}
8849	lmwurokinaseplasminogen	43	31	2012-01-03 16:47:36	{"id": 43, "value": "LMW Urokinase Plasminogen Activator"}
8848	plasminogenactivator	43	31	2012-01-03 16:47:36	{"id": 43, "value": "LMW Urokinase Plasminogen Activator"}
8847	urokinaseplasminogen	43	31	2012-01-03 16:47:36	{"id": 43, "value": "LMW Urokinase Plasminogen Activator"}
8846	lmwurokinase	43	31	2012-01-03 16:47:36	{"id": 43, "value": "LMW Urokinase Plasminogen Activator"}
8845	extracellularsuperoxidedismutase	42	31	2012-01-03 16:47:36	{"id": 42, "value": "Extracellular Superoxide Dismutase"}
8844	superoxidedismutase	42	31	2012-01-03 16:47:36	{"id": 42, "value": "Extracellular Superoxide Dismutase"}
8843	extracellularsuperoxide	42	31	2012-01-03 16:47:36	{"id": 42, "value": "Extracellular Superoxide Dismutase"}
8842	procathepsink	41	31	2012-01-03 16:47:36	{"id": 41, "value": "ProCathepsin K"}
8841	neuroserpin	40	31	2012-01-03 16:47:36	{"id": 40, "value": "Neuroserpin"}
8840	nucleotidephosphodiesterase7a	39	31	2012-01-03 16:47:36	{"id": 39, "value": "3,5-cyclic nucleotide phosphodiesterase 7A"}
8839	35-cyclicnucleotidephosphodiesterase	39	31	2012-01-03 16:47:36	{"id": 39, "value": "3,5-cyclic nucleotide phosphodiesterase 7A"}
8833	plasminogenactivator	38	31	2012-01-03 16:47:36	{"id": 38, "value": "Plasminogen Activator Inhibitor-1"}
8834	activatorinhibitor-1	38	31	2012-01-03 16:47:36	{"id": 38, "value": "Plasminogen Activator Inhibitor-1"}
8835	plasminogenactivatorinhibitor-1	38	31	2012-01-03 16:47:36	{"id": 38, "value": "Plasminogen Activator Inhibitor-1"}
8836	35-cyclicnucleotide	39	31	2012-01-03 16:47:36	{"id": 39, "value": "3,5-cyclic nucleotide phosphodiesterase 7A"}
8837	nucleotidephosphodiesterase	39	31	2012-01-03 16:47:36	{"id": 39, "value": "3,5-cyclic nucleotide phosphodiesterase 7A"}
8838	phosphodiesterase7a	39	31	2012-01-03 16:47:36	{"id": 39, "value": "3,5-cyclic nucleotide phosphodiesterase 7A"}
8872	bothropstoxin-i	58	31	2012-01-03 16:47:36	{"id": 58, "value": "Bothropstoxin-I"}
8873	granzymek	59	31	2012-01-03 16:47:36	{"id": 59, "value": "Granzyme K"}
8874	epidermalgrowth	60	31	2012-01-03 16:47:36	{"id": 60, "value": "Epidermal Growth Factor"}
8875	growthfactor	60	31	2012-01-03 16:47:36	{"id": 60, "value": "Epidermal Growth Factor"}
8876	epidermalgrowthfactor	60	31	2012-01-03 16:47:36	{"id": 60, "value": "Epidermal Growth Factor"}
8877	rhizopuspepsinogen	61	31	2012-01-03 16:47:36	{"id": 61, "value": "Rhizopuspepsinogen"}
8878	ribonuclease	62	31	2012-01-03 16:47:36	{"id": 62, "value": "Ribonuclease A"}
8879	atpsynthase	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8880	synthasef1	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8881	f1beta	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8882	betasubunit	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8883	atpsynthasef1	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8884	synthasef1beta	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8885	f1betasubunit	63	31	2012-01-03 16:47:36	{"id": 63, "value": "ATP synthase F1 beta subunit"}
8886	interleukin-2	64	31	2012-01-03 16:47:36	{"id": 64, "value": "Interleukin-2"}
8887	pro-falcipain-2	65	31	2012-01-03 16:47:36	{"id": 65, "value": "Pro-Falcipain-2"}
8888	brain-derivedneurotrophic	66	31	2012-01-03 16:47:36	{"id": 66, "value": "Brain-derived neurotrophic factor"}
8889	neurotrophicfactor	66	31	2012-01-03 16:47:36	{"id": 66, "value": "Brain-derived neurotrophic factor"}
8890	brain-derivedneurotrophicfactor	66	31	2012-01-03 16:47:36	{"id": 66, "value": "Brain-derived neurotrophic factor"}
8891	exopolyphosphatase	67	31	2012-01-03 16:47:36	{"id": 67, "value": "Exopolyphosphatase"}
8892	kringle5	68	31	2012-01-03 16:47:36	{"id": 68, "value": "Kringle 5"}
8893	interleukin-6	69	31	2012-01-03 16:47:36	{"id": 69, "value": "Interleukin-6"}
8894	interleukin-13receptor	70	31	2012-01-03 16:47:36	{"id": 70, "value": "Interleukin-13 receptor alpha-2"}
8895	receptoralpha-2	70	31	2012-01-03 16:47:36	{"id": 70, "value": "Interleukin-13 receptor alpha-2"}
8896	interleukin-13receptoralpha-2	70	31	2012-01-03 16:47:36	{"id": 70, "value": "Interleukin-13 receptor alpha-2"}
8897	leptin	71	31	2012-01-03 16:47:37	{"id": 71, "value": "Leptin"}
8898	neurotrophin-3	72	31	2012-01-03 16:47:37	{"id": 72, "value": "Neurotrophin-3"}
8899	interleukin-4	73	31	2012-01-03 16:47:37	{"id": 73, "value": "Interleukin-4"}
8900	interferongamma	74	31	2012-01-03 16:47:37	{"id": 74, "value": "Interferon gamma"}
8901	proinsulin	75	31	2012-01-03 16:47:37	{"id": 75, "value": "Proinsulin"}
8902	bowman-birkinhibitor	76	31	2012-01-03 16:47:37	{"id": 76, "value": "Bowman-Birk Inhibitor"}
8903	capzalpha-2	77	31	2012-01-03 16:47:37	{"id": 77, "value": "CapZ alpha-2 subunit"}
8904	alpha-2subunit	77	31	2012-01-03 16:47:37	{"id": 77, "value": "CapZ alpha-2 subunit"}
8905	capzalpha-2subunit	77	31	2012-01-03 16:47:37	{"id": 77, "value": "CapZ alpha-2 subunit"}
8906	capzbeta-1	78	31	2012-01-03 16:47:37	{"id": 78, "value": "CapZ beta-1 subunit"}
8907	beta-1subunit	78	31	2012-01-03 16:47:37	{"id": 78, "value": "CapZ beta-1 subunit"}
8908	capzbeta-1subunit	78	31	2012-01-03 16:47:37	{"id": 78, "value": "CapZ beta-1 subunit"}
8909	procathepsind	79	31	2012-01-03 16:47:37	{"id": 79, "value": "ProCathepsin D"}
8910	interleukin-1beta-converting	80	31	2012-01-03 16:47:37	{"id": 80, "value": "Interleukin-1 beta-converting enzyme"}
8911	beta-convertingenzyme	80	31	2012-01-03 16:47:37	{"id": 80, "value": "Interleukin-1 beta-converting enzyme"}
8912	interleukin-1beta-convertingenzyme	80	31	2012-01-03 16:47:37	{"id": 80, "value": "Interleukin-1 beta-converting enzyme"}
8913	dnapolymerase	81	31	2012-01-03 16:47:37	{"id": 81, "value": "DNA Polymerase Delta"}
8914	polymerasedelta	81	31	2012-01-03 16:47:37	{"id": 81, "value": "DNA Polymerase Delta"}
8915	dnapolymerasedelta	81	31	2012-01-03 16:47:37	{"id": 81, "value": "DNA Polymerase Delta"}
8916	acetylcholinereceptor	82	31	2012-01-03 16:47:37	{"id": 82, "value": "Acetylcholine Receptor alpha-Subunit"}
8917	receptoralpha-subunit	82	31	2012-01-03 16:47:37	{"id": 82, "value": "Acetylcholine Receptor alpha-Subunit"}
8918	acetylcholinereceptoralpha-subunit	82	31	2012-01-03 16:47:37	{"id": 82, "value": "Acetylcholine Receptor alpha-Subunit"}
8919	serumretinol	83	31	2012-01-03 16:47:37	{"id": 83, "value": "Serum Retinol Binding Protein"}
8920	retinolbinding	83	31	2012-01-03 16:47:37	{"id": 83, "value": "Serum Retinol Binding Protein"}
8921	bindingprotein	83	31	2012-01-03 16:47:37	{"id": 83, "value": "Serum Retinol Binding Protein"}
8922	serumretinolbinding	83	31	2012-01-03 16:47:37	{"id": 83, "value": "Serum Retinol Binding Protein"}
8923	retinolbindingprotein	83	31	2012-01-03 16:47:37	{"id": 83, "value": "Serum Retinol Binding Protein"}
8924	h-ras	84	31	2012-01-03 16:47:37	{"id": 84, "value": "H-ras"}
8925	kallikrein-4prostase	85	31	2012-01-03 16:47:37	{"id": 85, "value": "Kallikrein-4/Prostase"}
8926	prion	86	31	2012-01-03 16:47:37	{"id": 86, "value": "Prion"}
8927	interleukin-5	87	31	2012-01-03 16:47:37	{"id": 87, "value": "Interleukin-5"}
8928	phospholipasec	88	31	2012-01-03 16:47:37	{"id": 88, "value": "Phospholipase C"}
8929	carboxypeptidasey	89	31	2012-01-03 16:47:37	{"id": 89, "value": "Carboxypeptidase Y"}
8930	transposasetc1a	90	31	2012-01-03 16:47:37	{"id": 90, "value": "Transposase Tc1A"}
8931	methionineadenosyltransferase	92	31	2012-01-03 16:47:37	{"id": 92, "value": "Methionine Adenosyltransferase"}
8932	erythromycinc-12	93	31	2012-01-03 16:47:37	{"id": 93, "value": "Erythromycin C-12 Hydroxylase"}
8933	c-12hydroxylase	93	31	2012-01-03 16:47:37	{"id": 93, "value": "Erythromycin C-12 Hydroxylase"}
8934	erythromycinc-12hydroxylase	93	31	2012-01-03 16:47:37	{"id": 93, "value": "Erythromycin C-12 Hydroxylase"}
8935	cardiotoxinanalogue	94	31	2012-01-03 16:47:37	{"id": 94, "value": "Cardiotoxin analogue III"}
